content,source,cleaned,t,sentiment_score,sentiment
"Selamaat untuk DJP, semoga prestasi dalam inovasinya semakin meluaskan dan mendalamkan kemanfaatannya.. untuk Indonesia",instagram,selamaat untuk djp semoga prestasi dalam inovasinya semakin meluaskan dan mendalamkan kemanfaatannya untuk indonesia,"['selamaat', 'untuk', 'djp', 'semoga', 'prestasi', 'dalam', 'inovasinya', 'semakin', 'meluaskan', 'dan', 'mendalamkan', 'kemanfaatannya', 'untuk', 'indonesia']",5,positive
Pengumuman pemenangnya kapan minn?,instagram,pengumuman pemenangnya kapan minn,"['pengumuman', 'pemenangnya', 'kapan', 'minn']",1,positive
Buku ceritanya enggak sekalian min?,instagram,buku ceritanya enggak sekalian min,"['buku', 'ceritanya', 'enggak', 'sekalian', 'min']",2,positive
Tapi pengaruhi harga barang juga. Merchant bakal menaikkan harganya,instagram,tapi pengaruhi harga barang juga merchant bakal menaikkan harganya,"['tapi', 'pengaruhi', 'harga', 'barang', 'juga', 'merchant', 'bakal', 'menaikkan', 'harganya']",3,positive
joss lanjutkan pak,instagram,joss lanjutkan pak,"['joss', 'lanjutkan', 'pak']",1,positive
Josss,instagram,josss,['josss'],9,positive
Wow ini jepretan @gry.rmnd? Mantap kaliii,instagram,wow ini jepretan gryrmnd mantap kaliii,"['wow', 'ini', 'jepretan', 'gryrmnd', 'mantap', 'kali']",5,positive
Mantap mantap mantap core tax ini,instagram,mantap mantap mantap core tax ini,"['mantap', 'mantap', 'mantap', 'core', 'tax', 'ini']",6,positive
Kalau kantor pusat libur juga berarti ya ?,instagram,kalau kantor pusat libur juga berarti ya,"['kalau', 'kantor', 'pusat', 'libur', 'juga', 'berarti', 'ya']",6,positive
Adminnya punya selera lagu asik,instagram,adminnya punya selera lagu asik,"['adminnya', 'punya', 'selera', 'lagu', 'asik']",12,positive
@tsaabit97 @imamfachrial @hilminugroho12 kuy latihan convert XML,instagram,tsaabit imamfachrial hilminugroho kuy latihan convert xml,"['tsaabit97', 'imamfachrial', 'hilminugroho12', 'yuk', 'latihan', 'convert', 'xml']",2,positive
"Selamat punya Dirjen baru....
Semoga semakin baik dan bersih DJP",instagram,"selamat punya dirjen baru
semoga semakin baik dan bersih djp","['selamat', 'punya', 'dirjen', 'baru', 'semoga', 'semakin', 'baik', 'dan', 'bersih', 'djp']",9,positive
congrats all,instagram,congrats all,"['congrats', 'all']",3,positive
Selamat @ikhsansnl @smandoeta,instagram,selamat ikhsansnl smandoeta,"['selamat', 'ikhsansnl', 'smandoeta']",5,positive
"Congrats @sman2tangerang , proud alumnus",instagram,congrats smantangerang  proud alumnus,"['congrats', 'sman2tangerang', 'proud', 'alumnus']",8,positive
Mantapp,instagram,mantapp,['mantap'],5,positive
keren,instagram,keren,['keren'],9,positive
Mantap,instagram,mantap,['mantap'],5,positive
Kerennn,instagram,kerennn,['keren'],9,positive
Puncak ujian kesabaran dalam kehidupan manusia adalah CORETAX percayalah.,instagram,puncak ujian kesabaran dalam kehidupan manusia adalah coretax percayalah,"['puncak', 'ujian', 'kesabaran', 'dalam', 'kehidupan', 'manusia', 'adalah', 'coretax', 'percayalah']",9,positive
"Mau lapor ppn nih, tombol postingnya kaga update2",instagram,mau lapor ppn nih tombol postingnya kaga update,"['mau', 'lapor', 'ppn', 'nih', 'tombol', 'postingnya', 'kagak', 'update2']",5,positive
"Melalui CireTax ??,",instagram,melalui ciretax,"['melalui', 'ciretax']",3,positive
"Rumus Excel Cara Menghitung PPh 21 TER Tarif Efektif Rata-rata Efektif 1 Januari 2024
https://www.youtube.com/watch?v=jBJS9vzTQH8",instagram,"rumus excel cara menghitung pph  ter tarif efektif ratarata efektif  januari 
httpswwwyoutubecomwatchvjbjsvztqh","['rumus', 'excel', 'cara', 'menghitung', 'pph', '21', 'ter', 'tarif', 'efektif', 'ratarata', 'efektif', '1', 'januari', '2024', 'httpswwwyoutubecomwatchvjbjs9vztqh8']",10,positive
Congrats temen-temen,instagram,congrats tementemen,"['congrats', 'tementemen']",3,positive
"Selamat hari pajak, semoga penerimaan pajak tahun 2023 mencapai atau bahkan melebihi target dan semoga penggunaannya juga sesuai dan berkeadilan untuk seluruh lapisan masyarakat.",instagram,selamat hari pajak semoga penerimaan pajak tahun  mencapai atau bahkan melebihi target dan semoga penggunaannya juga sesuai dan berkeadilan untuk seluruh lapisan masyarakat,"['selamat', 'hari', 'pajak', 'semoga', 'penerimaan', 'pajak', 'tahun', '2023', 'mencapai', 'atau', 'bahkan', 'melebihi', 'target', 'dan', 'semoga', 'penggunaannya', 'juga', 'sesuai', 'dan', 'berkeadilan', 'untuk', 'seluruh', 'lapisan', 'masyarakat']",2,positive
Alhamdulillah bertepatan juga dengan hari kelahiranku 14 juli. Semoga tetep sukses,instagram,alhamdulillah bertepatan juga dengan hari kelahiranku  juli semoga tetep sukses,"['alhamdulillah', 'bertepatan', 'juga', 'dengan', 'hari', 'kelahiranku', '14', 'juli', 'semoga', 'tetap', 'sukses']",20,positive
Indonesia cepat..ditangan yg tepat...  Indonesia semakin mantab...,instagram,indonesia cepatditangan yg tepat  indonesia semakin mantab,"['indonesia', 'cepatditangan', 'yang', 'tepat', 'indonesia', 'semakin', 'mantab']",6,positive
Hasil dari SP2DK... jos...,instagram,hasil dari spdk jos,"['hasil', 'dari', 'sp2dk', 'jos']",9,positive
4500 triliyun SUKSES,instagram,triliyun sukses,"['4500', 'triliyun', 'sukses']",9,positive
Mantapp @dianwahyu54,instagram,mantapp dianwahyu,"['mantap', 'dianwahyu54']",5,positive
"Udah bayar suruh lapor, lah kerjanya ngapain?",instagram,udah bayar suruh lapor lah kerjanya ngapain,"['sudah', 'bayar', 'suruh', 'lapor', 'lah', 'kerjanya', 'mengapai']",4,positive
ayoo lapor pjak untuk memperkaya pejabat...salam Rubicon,instagram,ayoo lapor pjak untuk memperkaya pejabatsalam rubicon,"['ayo', 'lapor', 'pjak', 'untuk', 'memperkaya', 'pejabatsalam', 'rubicon']",4,positive
"masyaallah tabarakallah, terimakasih atas informasinya",instagram,masyaallah tabarakallah terimakasih atas informasinya,"['masyaallah', 'tabarakallah', 'terimakasih', 'atas', 'informasinya']",3,positive
bisnis otp ditjenpajakri,instagram,bisnis otp ditjenpajakri,"['bisnis', 'otp', 'ditjenpajakri']",3,positive
pendalaman… gimana mau coretax min..,instagram,pendalaman gimana mau coretax min,"['pendalaman', 'bagaimana', 'mau', 'coretax', 'min']",3,positive
game sifatnya software atau boleh board game?,instagram,game sifatnya software atau boleh board game,"['game', 'sifatnya', 'software', 'atau', 'boleh', 'board', 'game']",6,positive
"Ciyee posting ulang. Apapun postingannya, komennya tetap corestress",instagram,ciyee posting ulang apapun postingannya komennya tetap corestress,"['ciyee', 'posting', 'ulang', 'apapun', 'postingannya', 'komennya', 'tetap', 'corestress']",3,positive
mantab,instagram,mantab,['mantab'],9,positive
Andai ku Gayus Tambunaaaann,instagram,andai ku gayus tambunaaaann,"['andai', 'ku', 'gayus', 'tambunaaaann']",2,positive
kerenn,instagram,kerenn,['keren'],9,positive
Keren,instagram,keren,['keren'],9,positive
Selamat bestiee @nandadcahya,instagram,selamat bestiee nandadcahya,"['selamat', 'bestiee', 'nandadcahya']",5,positive
"Format STP apakah bisa lebih informatif, misal ada STP telat lapor PPh 23, mohon di STP juga diberikan keterangan due date lapor dan Kapan WP melaporkan SPTmya sehingga lebih informatif",instagram,format stp apakah bisa lebih informatif misal ada stp telat lapor pph  mohon di stp juga diberikan keterangan due date lapor dan kapan wp melaporkan sptmya sehingga lebih informatif,"['format', 'setiap', 'apakah', 'bisa', 'lebih', 'informatif', 'misal', 'ada', 'setiap', 'telat', 'lapor', 'pph', '23', 'mohon', 'di', 'setiap', 'juga', 'diberikan', 'keterangan', 'due', 'date', 'lapor', 'dan', 'kapan', 'wp', 'melaporkan', 'sptmya', 'sehingga', 'lebih', 'informatif']",1,positive
Alhamdulillah,instagram,alhamdulillah,['alhamdulillah'],5,positive
Terima kasih informasinya,instagram,terima kasih informasinya,"['terima', 'kasih', 'informasinya']",3,positive
Semoga membawa kebaikan buat seluruh rakyat,instagram,semoga membawa kebaikan buat seluruh rakyat,"['semoga', 'membawa', 'kebaikan', 'buat', 'seluruh', 'rakyat']",5,positive
yuk bersama kita dukung kebijakan pemerintah,instagram,yuk bersama kita dukung kebijakan pemerintah,"['yuk', 'bersama', 'kita', 'dukung', 'kebijakan', 'pemerintah']",14,positive
"Min, coretax min tolong diperbaiki .......",instagram,min coretax min tolong diperbaiki,"['min', 'coretax', 'min', 'tolong', 'diperbaiki']",7,positive
@erlinenatalie kuyyy,instagram,erlinenatalie kuyyy,"['erlinenatalie', 'yuk']",4,positive
Kereeen....,instagram,kereeen,['keren'],9,positive
"Waah, ada Bu Sri Mulyani  ayo Pak ajakin debat @thomasramdhan",instagram,waah ada bu sri mulyani  ayo pak ajakin debat thomasramdhan,"['wah', 'ada', 'bu', 'sri', 'mulyani', 'ayo', 'pak', 'mengajak', 'debat', 'thomasramdhan']",1,positive
Waw,instagram,waw,['wow'],9,positive
ashiappppppppp....... akhirnya rilis juga kontennya.....,instagram,ashiappppppppp akhirnya rilis juga kontennya,"['ashiappppppppp', 'akhirnya', 'rilis', 'juga', 'kontennya']",12,positive
Siap coach @nandyarizky,instagram,siap coach nandyarizky,"['siap', 'coach', 'nandyarizky']",1,positive
Keren @riandanuprakoso … Congrats…,instagram,keren riandanuprakoso  congrats,"['keren', 'riandanuprakoso', 'congrats']",12,positive
mantap,instagram,mantap,['mantap'],5,positive
Semoga amanah..,instagram,semoga amanah,"['semoga', 'amanah']",5,positive
Rakyat bangga,instagram,rakyat bangga,"['rakyat', 'bangga']",3,positive
kalo pensiunan PNS guru apakah dapat juga min?,instagram,kalo pensiunan pns guru apakah dapat juga min,"['kalau', 'pensiunan', 'pns', 'guru', 'apakah', 'dapat', 'juga', 'min']",9,positive
Selamat @rimbudz,instagram,selamat rimbudz,"['selamat', 'rimbudz']",5,positive
Alhamdulillah mari kita rayakan siuuuuuuu siuuuuu siuuuu,instagram,alhamdulillah mari kita rayakan siuuuuuuu siuuuuu siuuuu,"['alhamdulillah', 'mari', 'kita', 'rayakan', 'siuuuuuuu', 'siuuuuu', 'siuuuu']",4,positive
Signing_in_progres muluu nih mau lapor spt,instagram,signinginprogres muluu nih mau lapor spt,"['signinginprogres', 'muluu', 'nih', 'mau', 'lapor', 'seperti']",7,positive
Tombol bayar & lapor kemana?,instagram,tombol bayar  lapor kemana,"['tombol', 'bayar', 'lapor', 'kemana']",6,positive
Perubahan email ndak bisa ?,instagram,perubahan email ndak bisa,"['perubahan', 'email', 'indak', 'bisa']",4,positive
Terima kasih,instagram,terima kasih,"['terima', 'kasih']",1,positive
Terbaik..,instagram,terbaik,['terbaik'],5,positive
Proud of youuu,instagram,proud of youuu,"['proud', 'of', 'youuu']",5,positive
Selamat buat DJP,instagram,selamat buat djp,"['selamat', 'buat', 'djp']",6,positive
keren kali apalagi yg no 8  @faizinurfaiz,instagram,keren kali apalagi yg no   faizinurfaiz,"['keren', 'kali', 'apalagi', 'yang', 'no', '8', 'faizinurfaiz']",4,positive
@yudistira_r ada @yaafina mantul,instagram,yudistirar ada yaafina mantul,"['yudistirar', 'ada', 'yaafina', 'mantul']",6,positive
proud of uuuu @_nurulhnfh,instagram,proud of uuuu nurulhnfh,"['proud', 'of', 'uuuu', 'nurulhnfh']",5,positive
Terimakasih bung  @noeg_panji,instagram,terimakasih bung  noegpanji,"['terimakasih', 'bung', 'noegpanji']",5,positive
Semoga Berkah,instagram,semoga berkah,"['semoga', 'berkah']",4,positive
Tolong terbitin PMK utk pembebasan Sanksi telat bayar n lapor lah krn sistem kalian....,instagram,tolong terbitin pmk utk pembebasan sanksi telat bayar n lapor lah krn sistem kalian,"['tolong', 'terbitin', 'pmk', 'untuk', 'pembebasan', 'sanksi', 'telat', 'bayar', 'n', 'lapor', 'lah', 'karena', 'sistem', 'kalian']",1,positive
Boleh spill hasilnya min,instagram,boleh spill hasilnya min,"['boleh', 'spill', 'hasilnya', 'min']",2,positive
Kereen bageeeet,instagram,kereen bageeeet,"['keren', 'bageeeet']",9,positive
Congrats teman-teman!,instagram,congrats temanteman,"['congrats', 'temanteman']",3,positive
"Alhamdulillah kerja keras terbayar, congratulation dedekkk @d____iaa",instagram,alhamdulillah kerja keras terbayar congratulation dedekkk diaa,"['alhamdulillah', 'kerja', 'keras', 'terbayar', 'congratulation', 'dedekkk', 'dia']",4,positive
Alhamdulillah... congrats @d____iaa,instagram,alhamdulillah congrats diaa,"['alhamdulillah', 'congrats', 'dia']",5,positive
Selamat bapak ibu,instagram,selamat bapak ibu,"['selamat', 'bapak', 'ibu']",5,positive
Kereen,instagram,kereen,['keren'],9,positive
Sy mau lapor pak,instagram,sy mau lapor pak,"['saya', 'mau', 'lapor', 'pak']",5,positive
Wuihhh keren kak @innnayah selamat yaa,instagram,wuihhh keren kak innnayah selamat yaa,"['wuihhh', 'keren', 'kak', 'innnayah', 'selamat', 'ya']",5,positive
Wahhh selamat!!,instagram,wahhh selamat,"['wah', 'selamat']",2,positive
minta efin dong,instagram,minta efin dong,"['meminta', 'efin', 'dong']",1,positive
Mantap lagi lagi Mantap ....,instagram,mantap lagi lagi mantap,"['mantap', 'lagi', 'lagi', 'mantap']",4,positive
Mantap  semoga rakyat sejahtera,instagram,mantap  semoga rakyat sejahtera,"['mantap', 'semoga', 'rakyat', 'sejahtera']",5,positive
Coretaxnya beresin yuuu,instagram,coretaxnya beresin yuuu,"['coretaxnya', 'beresin', 'yuk']",4,positive
Terima kasih Pak Suryo dan selamat datang Pak Bimo.,instagram,terima kasih pak suryo dan selamat datang pak bimo,"['terima', 'kasih', 'pak', 'suryo', 'dan', 'selamat', 'datang', 'pak', 'bimo']",2,positive
"Lapor pak. Mau donlot lagu ""monster"" dmn ya pak?",instagram,lapor pak mau donlot lagu monster dmn ya pak,"['lapor', 'pak', 'mau', 'donlot', 'lagu', 'monster', 'dimana', 'ya', 'pak']",1,positive
Tetap semangat,instagram,tetap semangat,"['tetap', 'semangat']",2,positive
"Wkwkwk udah mau hari weekend aja nih, kumpulin karyawan dong kerja bakti bersih bersih dulu yuk",instagram,wkwkwk udah mau hari weekend aja nih kumpulin karyawan dong kerja bakti bersih bersih dulu yuk,"['wkwkwk', 'sudah', 'mau', 'hari', 'weekend', 'saja', 'nih', 'kumpulin', 'karyawan', 'dong', 'kerja', 'bakti', 'bersih', 'bersih', 'dulu', 'yuk']",3,positive
Minimal kerja yuk ah,instagram,minimal kerja yuk ah,"['minimal', 'kerja', 'yuk', 'ah']",3,positive
WEH MAU KERJA WEH ! BENERIN NAPAAAA,instagram,weh mau kerja weh  benerin napaaaa,"['weh', 'mau', 'kerja', 'weh', 'benerin', 'napaaaa']",1,positive
Iklan gratis pak ? Wkwk,instagram,iklan gratis pak  wkwk,"['iklan', 'gratis', 'pak', 'wkwk']",4,positive
"Heyyy bosss , bpjs saya juga iuran  jangan gitu ah.",instagram,heyyy bosss  bpjs saya juga iuran  jangan gitu ah,"['heyyy', 'bosss', 'bpjs', 'saya', 'juga', 'iuran', 'jangan', 'begitu', 'ah']",3,positive
"Gratis sih, tapiiii.....",instagram,gratis sih tapiiii,"['gratis', 'sih', 'tapiiii']",4,positive
Jir lahhh,instagram,jir lahhh,"['jir', 'lah']",6,positive
kereen mudah dimengerti,instagram,kereen mudah dimengerti,"['keren', 'mudah', 'dimengerti']",8,positive
Kalau hibah selain tanah dan bangunan tarifnya berapa,instagram,kalau hibah selain tanah dan bangunan tarifnya berapa,"['kalau', 'hibah', 'selain', 'tanah', 'dan', 'bangunan', 'tarifnya', 'berapa']",3,positive
thankyouu buku tahunannya keren!,instagram,thankyouu buku tahunannya keren,"['thankyouu', 'buku', 'tahunannya', 'keren']",9,positive
Kapan sistemnya normal?,instagram,kapan sistemnya normal,"['kapan', 'sistemnya', 'normal']",1,positive
Ternyata miminnya pemain cocoki juga,instagram,ternyata miminnya pemain cocoki juga,"['ternyata', 'miminnya', 'pemain', 'cocoki', 'juga']",6,positive
"Halo Bapak / Ibu Yth,
Ijin menyampaikan, apakah website Djponline sedang bermalasah?",instagram,"halo bapak  ibu yth
ijin menyampaikan apakah website djponline sedang bermalasah","['halo', 'bapak', 'ibu', 'yth', 'ijin', 'menyampaikan', 'apakah', 'website', 'djponline', 'sedang', 'bermalasah']",4,positive
"Assalamualaikum, pak email otp pada kemanaaaaa",instagram,assalamualaikum pak email otp pada kemanaaaaa,"['assalamualaikum', 'pak', 'email', 'otp', 'pada', 'kemanaaaaa']",9,positive
"Makasih infonya, Mandiri is the best",instagram,makasih infonya mandiri is the best,"['terima kasih', 'infonya', 'mandiri', 'is', 'the', 'best']",2,positive
@nnaa.jjwwaa ikut yuk,instagram,nnaajjwwaa ikut yuk,"['nnaajjwwaa', 'ikut', 'yuk']",1,positive
Kak mohon respon chat kita,instagram,kak mohon respon chat kita,"['kak', 'mohon', 'respon', 'chat', 'kita']",3,positive
Ekpresiku pas lihat bupot :,instagram,ekpresiku pas lihat bupot,"['ekpresiku', 'pas', 'lihat', 'bupot']",6,positive
"Menunggu surat keputusan PPN 12% dan UMKM 0,5%",instagram,menunggu surat keputusan ppn  dan umkm,"['menunggu', 'surat', 'keputusan', 'ppn', '12', 'dan', 'umkm', '05']",1,positive
Bismillah,instagram,bismillah,['bismillah'],4,positive
Maksimal 3 juta peetahun itu per karyawan atau seluruh karyawan yah pak untuk bingkisan hari rayanya,instagram,maksimal  juta peetahun itu per karyawan atau seluruh karyawan yah pak untuk bingkisan hari rayanya,"['maksimal', '3', 'juta', 'peetahun', 'itu', 'per', 'karyawan', 'atau', 'seluruh', 'karyawan', 'ya', 'pak', 'untuk', 'bingkisan', 'hari', 'rayanya']",4,positive
Bernafas dipajakin juga lah,instagram,bernafas dipajakin juga lah,"['bernafas', 'dipajakin', 'juga', 'lah']",9,positive
Good luck tim UGM...,instagram,good luck tim ugm,"['good', 'luck', 'tim', 'ugm']",9,positive
"Kl amanah, lah kalo dananya belok??",instagram,kl amanah lah kalo dananya belok,"['kalau', 'amanah', 'lah', 'kalau', 'dananya', 'belok']",15,positive
Hahahaa faktanya buat IKN dan makan siang gratis,instagram,hahahaa faktanya buat ikn dan makan siang gratis,"['hahahaa', 'faktanya', 'buat', 'ikn', 'dan', 'makan', 'siang', 'gratis']",4,positive
Mending urus dulu lah itu login DJP MFA. Ngide amat sih pak Hantriono Joko Susilo,instagram,mending urus dulu lah itu login djp mfa ngide amat sih pak hantriono joko susilo,"['mending', 'urus', 'dulu', 'lah', 'itu', 'login', 'djp', 'mfa', 'ngide', 'amat', 'sih', 'pak', 'hantriono', 'joko', 'susilo']",8,positive
TERBAIK!,instagram,terbaik,['terbaik'],5,positive
Jadi kenyang dong pajaknya berapa %,instagram,jadi kenyang dong pajaknya berapa,"['jadi', 'kenyang', 'dong', 'pajaknya', 'berapa']",1,positive
Foto pejabatnya mana?,instagram,foto pejabatnya mana,"['foto', 'pejabatnya', 'mana']",3,positive
BERAPA PERSEN PAJAKNYA SETIAP MEDALINYA??,instagram,berapa persen pajaknya setiap medalinya,"['berapa', 'persen', 'pajaknya', 'setiap', 'medalinya']",2,positive
So proud!,instagram,so proud,"['sok', 'proud']",5,positive
"Waaah keren sekalii Mas @fauzi_fortuna , barakallah yaaaak",instagram,waaah keren sekalii mas fauzifortuna  barakallah yaaaak,"['waaah', 'keren', 'sekali', 'mas', 'fauzifortuna', 'barakallah', 'yaaaak']",8,positive
Selamat ya untuk para Pemenang,instagram,selamat ya untuk para pemenang,"['selamat', 'ya', 'untuk', 'para', 'pemenang']",1,positive
selamat,instagram,selamat,['selamat'],5,positive
Alhamdulillah congrats kakkk @saviraindrianipr,instagram,alhamdulillah congrats kakkk saviraindrianipr,"['alhamdulillah', 'congrats', 'kak', 'saviraindrianipr']",8,positive
kapan jg kamu penyuluhan realitas turjun lngusng ke publik???????????????????????????????,instagram,kapan jg kamu penyuluhan realitas turjun lngusng ke publik,"['kapan', 'juga', 'kamu', 'penyuluhan', 'realitas', 'turjun', 'lngusng', 'ke', 'publik']",6,positive
Alhamdulillah dah lapor SPT tahunan,instagram,alhamdulillah dah lapor spt tahunan,"['alhamdulillah', 'sudah', 'lapor', 'seperti', 'tahunan']",4,positive
Alhamdulillah sudah lapor SPT lebih awal,instagram,alhamdulillah sudah lapor spt lebih awal,"['alhamdulillah', 'sudah', 'lapor', 'seperti', 'lebih', 'awal']",3,positive
Peraturannya boleh kak?,instagram,peraturannya boleh kak,"['peraturannya', 'boleh', 'kak']",2,positive
Wow keren,instagram,wow keren,"['wow', 'keren']",18,positive
